G o. </w>	Va </w> ! </w>
H i. </w>	Salut </w> ! </w>
Run ! </w>	C ours </w> ! </w>
Run ! </w>	C oure z </w> ! </w>
Wow! </w>	Ça </w> alors </w> ! </w>
Fire ! </w>	Au </w> feu </w> ! </w>
Help ! </w>	À </w> l'aide </w> ! </w>
J um p. </w>	Sau te. </w>
Stop! </w>	Ça </w> suffit </w> ! </w>
Stop! </w>	Stop </w> ! </w>
Stop! </w>	Arrête -toi </w> ! </w>
Wait ! </w>	Attends </w> ! </w>
Wait ! </w>	Attendez </w> ! </w>
Go </w> on. </w>	Pour suis. </w>
Go </w> on. </w>	Continue z. </w>
Go </w> on. </w>	Pour su ive z. </w>
Hello ! </w>	Bon jour </w> ! </w>
Hello ! </w>	Salut </w> ! </w>
I </w> see. </w>	Je </w> comprends. </w>
I </w> try. </w>	J'essay e. </w>
I </w> won! </w>	J'ai </w> gagné </w> ! </w>
I </w> won! </w>	Je </w> l'ai </w> emporté </w> ! </w>
Oh </w> no ! </w>	Oh </w> non </w> ! </w>
Att ack ! </w>	At ta que </w> ! </w>
Att ack ! </w>	At ta quez </w> ! </w>
Che ers ! </w>	Sant é </w> ! </w>
Che ers ! </w>	À </w> votre </w> santé </w> ! </w>
Che ers ! </w>	Merci </w> ! </w>
Che ers ! </w>	T chin -t chin </w> ! </w>
Get </w> up. </w>	Lève -toi. </w>
Go </w> now. </w>	Va , </w> maintenant. </w>
Go </w> now. </w>	Alle z- y </w> maintenant. </w>
Go </w> now. </w>	Vas -y </w> maintenant. </w>
Got </w> it! </w>	J'ai </w> p igé </w> ! </w>
Got </w> it! </w>	Com pris </w> ! </w>
Got </w> it? </w>	P igé </w> ? </w>
Got </w> it? </w>	Com pris </w> ? </w>
Got </w> it? </w>	T'as </w> cap té </w> ? </w>
H op </w> in. </w>	Mon te. </w>
H op </w> in. </w>	Monte z. </w>
Hug </w> me. </w>	Serre -moi </w> dans </w> tes </w> bras </w> ! </w>
Hug </w> me. </w>	Serre z-moi </w> dans </w> vos </w> bras </w> ! </w>
